Informasi Kurs Jisdor;Informasi Kurs Jisdor;Informasi Kurs Jisdor;Informasi Kurs Jisdor
;;;
NO;Tanggal;Kurs;
1;8/24/2026 12:00:00 AM;17703;
2;8/21/2026 12:00:00 AM;17705;
3;8/20/2026 12:00:00 AM;17779;
4;8/19/2026 12:00:00 AM;17844;
5;8/18/2026 12:00:00 AM;17856;
6;8/14/2026 12:00:00 AM;17836;
7;8/13/2026 12:00:00 AM;17882;
8;8/12/2026 12:00:00 AM;17876;
9;8/11/2026 12:00:00 AM;17824;
10;8/10/2026 12:00:00 AM;17795;
11;8/7/2026 12:00:00 AM;17913;
12;8/6/2026 12:00:00 AM;17919;
13;8/5/2026 12:00:00 AM;17937;
14;8/4/2026 12:00:00 AM;18037;
15;8/3/2026 12:00:00 AM;17991;
16;7/31/2026 12:00:00 AM;18058;
17;7/30/2026 12:00:00 AM;18078;
18;7/29/2026 12:00:00 AM;18087;
19;7/28/2026 12:00:00 AM;18088;
20;7/27/2026 12:00:00 AM;17995;
21;7/24/2026 12:00:00 AM;17973;
22;7/23/2026 12:00:00 AM;17915;
23;7/22/2026 12:00:00 AM;17909;
24;7/21/2026 12:00:00 AM;17909;
25;7/20/2026 12:00:00 AM;17976;
26;7/17/2026 12:00:00 AM;17944;
27;7/16/2026 12:00:00 AM;18041;
28;7/15/2026 12:00:00 AM;18064;
29;7/14/2026 12:00:00 AM;18099;
30;7/13/2026 12:00:00 AM;18131;
31;7/10/2026 12:00:00 AM;18069;
32;7/9/2026 12:00:00 AM;18090;
33;7/8/2026 12:00:00 AM;18005;
34;7/7/2026 12:00:00 AM;17988;
35;7/6/2026 12:00:00 AM;17999;
36;7/3/2026 12:00:00 AM;17960;
37;7/2/2026 12:00:00 AM;17994;
38;7/1/2026 12:00:00 AM;17961;
39;6/30/2026 12:00:00 AM;17899;
40;6/29/2026 12:00:00 AM;17856;
41;6/26/2026 12:00:00 AM;17962;
42;6/25/2026 12:00:00 AM;17942;
43;6/24/2026 12:00:00 AM;17955;
44;6/23/2026 12:00:00 AM;17868;
45;6/22/2026 12:00:00 AM;17819;
46;6/19/2026 12:00:00 AM;17826;
47;6/18/2026 12:00:00 AM;17826;
48;6/17/2026 12:00:00 AM;17753;
49;6/15/2026 12:00:00 AM;17719;
50;6/12/2026 12:00:00 AM;17921;
51;6/11/2026 12:00:00 AM;17981;
52;6/10/2026 12:00:00 AM;17971;
53;6/9/2026 12:00:00 AM;18141;
54;6/8/2026 12:00:00 AM;18171;
55;6/5/2026 12:00:00 AM;18039;
56;6/4/2026 12:00:00 AM;18039;
57;6/3/2026 12:00:00 AM;17931;
58;6/2/2026 12:00:00 AM;17863;
59;5/29/2026 12:00:00 AM;17883;
60;5/26/2026 12:00:00 AM;17789;
61;5/25/2026 12:00:00 AM;17743;
62;5/22/2026 12:00:00 AM;17717;
63;5/21/2026 12:00:00 AM;17673;
64;5/20/2026 12:00:00 AM;17685;
65;5/19/2026 12:00:00 AM;17719;
66;5/18/2026 12:00:00 AM;17666;
67;5/13/2026 12:00:00 AM;17496;
68;5/12/2026 12:00:00 AM;17514;
69;5/11/2026 12:00:00 AM;17415;
70;5/8/2026 12:00:00 AM;17375;
71;5/7/2026 12:00:00 AM;17362;
72;5/6/2026 12:00:00 AM;17405;
73;5/5/2026 12:00:00 AM;17425;
74;5/4/2026 12:00:00 AM;17368;
75;4/30/2026 12:00:00 AM;17378;
76;4/29/2026 12:00:00 AM;17324;
77;4/28/2026 12:00:00 AM;17245;
78;4/27/2026 12:00:00 AM;17227;
79;4/24/2026 12:00:00 AM;17278;
80;4/23/2026 12:00:00 AM;17308;
81;4/22/2026 12:00:00 AM;17179;
82;4/21/2026 12:00:00 AM;17142;
83;4/20/2026 12:00:00 AM;17176;
84;4/17/2026 12:00:00 AM;17189;
85;4/16/2026 12:00:00 AM;17142;
86;4/15/2026 12:00:00 AM;17141;
87;4/14/2026 12:00:00 AM;17135;
88;4/13/2026 12:00:00 AM;17122;
89;4/10/2026 12:00:00 AM;17112;
90;4/9/2026 12:00:00 AM;17082;
91;4/8/2026 12:00:00 AM;17009;
92;4/7/2026 12:00:00 AM;17092;
93;4/6/2026 12:00:00 AM;17037;
94;4/2/2026 12:00:00 AM;17015;
95;4/1/2026 12:00:00 AM;17002;
96;3/31/2026 12:00:00 AM;16999;
97;3/30/2026 12:00:00 AM;16993;
98;3/27/2026 12:00:00 AM;16957;
99;3/26/2026 12:00:00 AM;16903;
100;3/25/2026 12:00:00 AM;16905;
101;3/17/2026 12:00:00 AM;16982;
102;3/16/2026 12:00:00 AM;16990;
103;3/13/2026 12:00:00 AM;16934;
104;3/12/2026 12:00:00 AM;16899;
105;3/11/2026 12:00:00 AM;16867;
106;3/10/2026 12:00:00 AM;16879;
107;3/9/2026 12:00:00 AM;16974;
108;3/6/2026 12:00:00 AM;16919;
109;3/5/2026 12:00:00 AM;16886;
110;3/4/2026 12:00:00 AM;16911;
111;3/3/2026 12:00:00 AM;16870;
112;3/2/2026 12:00:00 AM;16848;
113;2/27/2026 12:00:00 AM;16779;
114;2/26/2026 12:00:00 AM;16758;
115;2/25/2026 12:00:00 AM;16813;
116;2/24/2026 12:00:00 AM;16830;
117;2/23/2026 12:00:00 AM;16818;
118;2/20/2026 12:00:00 AM;16885;
119;2/19/2026 12:00:00 AM;16925;
120;2/18/2026 12:00:00 AM;16884;
121;2/13/2026 12:00:00 AM;16844;
122;2/12/2026 12:00:00 AM;16826;
123;2/11/2026 12:00:00 AM;16781;
